CDFR,CDFR_denominator,CPA,CPD,OCA,PFR,SSR,URFR,URFR_denominator,accuracy,avg_label_purity_covered,balanced_accuracy,char_feature_dim,clone_rate_drop,coverage,covered_only_metrics,covered_rows,experiment,f1,fallback_label,fallback_label_text,feature_dim,feature_names,fn,fp,macro_f1,model,n,n_counterfactual_pairs,n_unique_sources,original_clone_rows,original_mean_prob_yes,original_predicted_clone_rate,precision,predicted_positive_rate,prob_yes_drop,protocol,recall,scope,section,selected_c,shuffled_mean_prob_yes,shuffled_predicted_clone_rate,shuffled_rows,tn,tp,uncovered_rows,valid_metrics,variant,variant_label,word_feature_dim
,,,,,,,,,,,,,0.5667,,,,,,,,,,,,,graphcodebert,,,,300,0.7214,0.7033,,,0.5327,p2,,,counterfactual_shift_summaries,,0.1887,0.1367,300,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.4718,,,,,,,,,,,,,unixcoder,,,,301,0.6617,0.6645,,,0.3672,p0-eb,,,counterfactual_shift_summaries,,0.2945,0.1927,301,,,,,b1,B1-random,
,,,,,,,,,,,,,0.4352,,,,,,,,,,,,,unixcoder,,,,301,0.6617,0.6645,,,0.3498,p0-eb,,,counterfactual_shift_summaries,,0.3119,0.2292,301,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.4319,,,,,,,,,,,,,unixcoder,,,,301,0.6617,0.6645,,,0.3467,p0-eb,,,counterfactual_shift_summaries,,0.315,0.2326,301,,,,,b3,B3-structure-matched,
,,,,,,,,,,,,,0.5133,,,,,,,,,,,,,unixcoder,,,,300,0.6546,0.61,,,0.4344,p2,,,counterfactual_shift_summaries,,0.2202,0.0967,300,,,,,b1,B1-random,
,,,,,,,,,,,,,0.5233,,,,,,,,,,,,,unixcoder,,,,300,0.6546,0.61,,,0.4378,p2,,,counterfactual_shift_summaries,,0.2168,0.0867,300,,,,,b2,B2-length-matched,
,,,,,,,,,,,,,0.52,,,,,,,,,,,,,unixcoder,,,,300,0.6546,0.61,,,0.4379,p2,,,counterfactual_shift_summaries,,0.2168,0.09,300,,,,,b3,B3-structure-matched,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
1.0,223,0.7409,0.7409,0.7409,0.7409,1.0,0.0,78,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
1.0,178,0.5933,0.5933,0.5933,0.5933,1.0,0.0,122,,,,,,,,,,,,,,,,,,deepseek_v4_flash,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.6158,203,0.4153,0.3022,0.6744,0.5316,0.6246,0.3571,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.6158,203,0.4153,0.3022,0.6744,0.5316,0.6246,0.3571,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.5714,203,0.3854,0.2933,0.6744,0.485,0.6113,0.3061,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.5714,203,0.3854,0.2933,0.6744,0.485,0.6113,0.3061,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.5468,203,0.3688,0.2736,0.6744,0.4718,0.5914,0.3163,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.5468,203,0.3688,0.2736,0.6744,0.4718,0.5914,0.3163,98,,,,,,,,,,,,,,,,,,embedding_svm,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.4653,202,0.3133,0.2164,0.6733,0.4133,0.54,0.3061,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.4653,202,0.3133,0.2164,0.6733,0.4133,0.54,0.3061,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.4356,202,0.2933,0.1689,0.6733,0.4067,0.5067,0.3469,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.4356,202,0.2933,0.1689,0.6733,0.4067,0.5067,0.3469,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.4505,202,0.3033,0.1779,0.6733,0.4167,0.5167,0.3469,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.4505,202,0.3033,0.1779,0.6733,0.4167,0.5167,0.3469,98,,,,,,,,,,,,,,,,,,embedding_svm,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.8962,212,0.6312,0.5294,0.7043,0.6811,0.8771,0.1685,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.8962,212,0.6312,0.5294,0.7043,0.6811,0.8771,0.1685,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.8962,212,0.6312,0.5234,0.7043,0.6678,0.8904,0.1236,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.8962,212,0.6312,0.5234,0.7043,0.6678,0.8904,0.1236,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.8821,212,0.6213,0.5177,0.7043,0.6578,0.8804,0.1236,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.8821,212,0.6213,0.5177,0.7043,0.6578,0.8804,0.1236,89,,,,,,,,,,,,,,,,,,graphcodebert,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.9242,211,0.65,0.5587,0.7033,0.6767,0.92,0.0899,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.9242,211,0.65,0.5587,0.7033,0.6767,0.92,0.0899,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.8389,211,0.59,0.5269,0.7033,0.62,0.8567,0.1011,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.8389,211,0.59,0.5269,0.7033,0.62,0.8567,0.1011,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.8436,211,0.5933,0.5327,0.7033,0.62,0.8633,0.0899,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.8436,211,0.5933,0.5327,0.7033,0.62,0.8633,0.0899,89,,,,,,,,,,,,,,,,,,graphcodebert,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.8,200,0.5316,0.3672,0.6645,0.5914,0.8073,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.8,200,0.5316,0.3672,0.6645,0.5914,0.8073,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.745,200,0.495,0.3498,0.6645,0.5548,0.7708,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.745,200,0.495,0.3498,0.6645,0.5548,0.7708,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.74,200,0.4917,0.3467,0.6645,0.5515,0.7674,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.74,200,0.4917,0.3467,0.6645,0.5515,0.7674,0.1782,101,,,,,,,,,,,,,,,,,,unixcoder,,301,301,,,,,,,p0-eb,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.918,183,0.56,0.4344,0.61,0.6067,0.9033,0.1197,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.918,183,0.56,0.4344,0.61,0.6067,0.9033,0.1197,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b1,B1-random,
0.9016,183,0.55,0.4378,0.61,0.5767,0.9133,0.0684,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.9016,183,0.55,0.4378,0.61,0.5767,0.9133,0.0684,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b2,B2-length-matched,
0.9016,183,0.55,0.4379,0.61,0.58,0.91,0.0769,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,primary,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
0.9016,183,0.55,0.4379,0.61,0.58,0.91,0.0769,117,,,,,,,,,,,,,,,,,,unixcoder,,300,300,,,,,,,p2,,all_donors,counterfactual_dependency_metrics,,,,,,,,,b3,B3-structure-matched,
,,,,,,,,,0.5,,0.5,,,0.0,,0,a1_pair_hash_lookup,0.0,0,no,,,301,0,0.3333,deepseek_v4_flash,602,,,,,,0.0,0.0,,p0-eb,0.0,,shortcut_baselines,,,,,301,0,602,,,,
,,,,,,,,,0.5,0.5,0.5,,,1.0,"{'n': 602, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'macro_f1': 0.3333, 'accuracy': 0.5, 'balanced_accuracy': 0.5, 'predicted_positive_rate': 0.0, 'tp': 0, 'fp': 0, 'tn': 301, 'fn': 301}",602,a1_code_a_hash_lookup,0.0,0,no,,,301,0,0.3333,deepseek_v4_flash,602,,,,,,0.0,0.0,,p0-eb,0.0,,shortcut_baselines,,,,,301,0,0,,,,
,,,,,,,,,0.5,,0.5,,,0.0,,0,a1_code_b_hash_lookup,0.0,0,no,,,301,0,0.3333,deepseek_v4_flash,602,,,,,,0.0,0.0,,p0-eb,0.0,,shortcut_baselines,,,,,301,0,602,,,,
,,,,,,,,,0.5,,0.5,50000,,,,,a2_code_a_only,0.0,,,77576,,301,0,0.3333,deepseek_v4_flash,602,,,,,,0.0,0.0,,p0-eb,0.0,,shortcut_baselines,0.1,,,,301,0,,"{'n': 588, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'macro_f1': 0.3333, 'accuracy': 0.5, 'balanced_accuracy': 0.5, 'predicted_positive_rate': 0.0, 'tp': 0, 'fp': 0, 'tn': 294, 'fn': 294}",,,27576
,,,,,,,,,0.5,,0.5,50000,,,,,a3_code_b_only,0.0,,,100000,,301,0,0.3333,deepseek_v4_flash,602,,,,,,0.0,0.0,,p0-eb,0.0,,shortcut_baselines,0.1,,,,301,0,,"{'n': 588, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'macro_f1': 0.3333, 'accuracy': 0.5, 'balanced_accuracy': 0.5, 'predicted_positive_rate': 0.0, 'tp': 0, 'fp': 0, 'tn': 294, 'fn': 294}",,,50000
,,,,,,,,,0.5864,,0.5864,,,,,,a4_lite_surface,0.6128,,,15,"['char_a', 'char_b', 'line_a', 'line_b', 'token_a', 'token_b', 'char_abs_diff', 'char_signed_diff', 'char_ratio', 'line_abs_diff', 'line_signed_diff', 'line_ratio', 'token_abs_diff', 'token_signed_diff', 'token_ratio']",104,145,0.5845,deepseek_v4_flash,602,,,,,,0.576,0.5681,,p0-eb,0.6545,,shortcut_baselines,0.1,,,,156,197,,"{'n': 588, 'precision': 0.5539, 'recall': 0.6463, 'f1': 0.5965, 'macro_f1': 0.5599, 'accuracy': 0.5629, 'balanced_accuracy': 0.5629, 'predicted_positive_rate': 0.5833, 'tp': 190, 'fp': 153, 'tn': 141, 'fn': 104}",,,
,,,,,,,,,0.7259,,0.7259,,,,,,a4_full_surface_lexical,0.7236,,,40,"['char_a', 'char_abs_diff', 'char_b', 'char_ratio_ab', 'char_ratio_ba', 'id_a', 'id_abs_diff', 'id_b', 'id_ratio_ab', 'id_ratio_ba', 'identifier_multiset_l1', 'identifier_multiset_overlap', 'identifier_set_jaccard', 'lang_pair=Java->C', 'lang_pair=Java->C#', 'lang_pair=Java->C++', 'lang_pair=Java->Go', 'lang_pair=Java->JavaScript', 'lang_pair=Java->OCaml', 'lang_pair=Java->PHP', 'lang_pair=Java->Python', 'lang_pair=Java->Ruby', 'lang_pair=Java->Rust', 'line_a', 'line_abs_diff', 'line_b', 'line_density_a', 'line_density_b', 'line_ratio_ab', 'line_ratio_ba', 'structure_multiset_l1', 'structure_multiset_overlap', 'token_a', 'token_abs_diff', 'token_b', 'token_multiset_l1', 'token_multiset_overlap', 'token_ratio_ab', 'token_ratio_ba', 'token_set_jaccard']",85,80,0.7259,deepseek_v4_flash,602,,,,,,0.7297,0.4917,,p0-eb,0.7176,,shortcut_baselines,10.0,,,,221,216,,"{'n': 588, 'precision': 0.7089, 'recall': 0.7041, 'f1': 0.7065, 'macro_f1': 0.7075, 'accuracy': 0.7075, 'balanced_accuracy': 0.7075, 'predicted_positive_rate': 0.4966, 'tp': 207, 'fp': 85, 'tn': 209, 'fn': 87}",,,
