model,tag,source_pair_id,lang_b,problem_id,original_prediction_is_clone,preserving_prediction_is_clone,breaking_prediction_is_clone,preserve_yes_break_no,directionally_correct,directionally_wrong,preserving_transformation_type,breaking_transformation_type
a4_full,phase5b,79a5008344e8bc86,C++,p02685,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,7b2f471300b303aa,Go,p02612,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,7beeabb7532e05bc,Go,p03000,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,7d04aa8b4bccee7d,Go,p02419,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,7ef113cd6b0395bf,Go,p02852,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,842a4c0c5615af41,C++,p02852,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,89de705cba0b2fd3,C++,p02912,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,915c6b47c1804575,C++,p02927,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,916017934a2a7d8b,Python,p02701,False,False,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,91e6856c58727da2,Python,p03315,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,95e313b105763103,Python,p03267,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,9651bda37cc192f8,JavaScript,p02927,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,985a9c941871beb0,C++,p02797,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,9debef7aaa13c827,Go,p03262,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,9f9a3ebce5c12a17,JavaScript,p02685,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,a21cd3722e0ba534,Go,p02985,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,a3d07435000e7d0c,C++,p03254,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,a53b61f6bf590dc9,Go,p02741,True,True,True,False,False,False,identifier_rename,integer_literal_perturb
a4_full,phase5b,a5880457ed30afb8,C++,p03162,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,a8332c76f4a7ceed,Python,p02419,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,a8deed027c254394,JavaScript,p03131,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,abcc347bada723a0,C++,p02701,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,aea0af2dcac64e49,JavaScript,p02699,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,b1c2e481bebb96d8,JavaScript,p02881,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,bd4648d43dca43e0,C++,p03000,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,be51e56bfd5ef570,JavaScript,p02419,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,c26cbadfe8ea06e1,Go,p03267,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,c3fb32bd7916b2ef,Python,p03162,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,c689157cf42dc511,Python,p02696,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,cca4ff22383c99c0,Python,p03254,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,ce0ab7822f2dbdd2,C++,p02419,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,d0c0c43b532e1531,C++,p03293,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,d581815418c7e597,C++,p02612,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,d5f3bf019e66b075,Go,p02685,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,d9bda7d86d4f2e8b,C++,p02700,True,True,True,False,False,False,identifier_rename,answer_string_flip
a4_full,phase5b,da23e4f930a96b3f,C++,p02898,True,False,True,False,False,True,identifier_rename,comparator_flip
a4_full,phase5b,da25ea3ba4cffb11,JavaScript,p02852,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,dbcea0a9b822e338,JavaScript,p03254,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,e2e3ebdd8e3fcd12,Go,p02775,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,e41cc8a5db397f54,Go,p02699,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,e52139cdb5ee23b0,Python,p03293,True,True,False,True,True,False,identifier_rename,answer_string_flip
a4_full,phase5b,e6c5532af07da126,JavaScript,p02694,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,e81e53daaa872734,C++,p02823,False,False,False,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,ea2433d2cff65664,Python,p02699,False,False,False,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,ecefc144f1ba506e,JavaScript,p02985,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,f30ea2ae90715f6d,Go,p02797,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,f3687bf8c6190962,Python,p03131,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,fb99e319252f2031,C++,p02741,True,True,True,False,False,False,identifier_rename,comparator_flip
a4_full,phase5b,fd8279e7a0d30f31,JavaScript,p02775,True,True,True,False,False,False,identifier_rename,boolean_literal_flip
a4_full,phase5b,ffc2d2d81dddb23d,JavaScript,p02612,False,False,False,False,False,False,identifier_rename,comparator_flip
